"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014"
"18020","Columbus, IN (Metropolitan Statistical Area)",44187,42091,43227,44553,46122,45607,46307
"18140","Columbus, OH (Metropolitan Statistical Area)",41438,40554,40937,42560,43887,43556,44230
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",37161,36381,38202,40232,41200,40504,41309
"18700","Corvallis, OR (Metropolitan Statistical Area)",36479,35067,35596,37280,37009,36691,37051
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",42935,41726,42839,43600,43425,42853,43405
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",33998,34886,35271,36200,36342,36738,37321
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",44080,40631,41357,43721,44903,44336,45385
"19140","Dalton, GA (Metropolitan Statistical Area)",31403,30928,29925,31528,31633,32896,33631
"19180","Danville, IL (Metropolitan Statistical Area)",39828,40288,39440,40379,39602,41011,39746
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",38241,37395,38566,39379,38886,38273,38910
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",43383,42318,42670,44309,44052,43586,43971
"19380","Dayton, OH (Metropolitan Statistical Area)",39786,39020,39312,40679,41054,40909,41916
"19460","Decatur, AL (Metropolitan Statistical Area)",35868,35676,35628,35690,35973,35919,36375
"19500","Decatur, IL (Metropolitan Statistical Area)",43446,43551,42970,44104,43483,43817,44881
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",34162,32546,33863,34385,34300,34076,34796
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",48270,44792,43848,45367,47065,46234,47446
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",46915,45690,45715,46161,47878,46295,47344
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",39802,37786,38150,39940,41100,40961,42109
"20020","Dothan, AL (Metropolitan Statistical Area)",39249,39015,39915,39634,39059,38425,38857
"20100","Dover, DE (Metropolitan Statistical Area)",36374,37545,37085,37179,36915,36733,37229
"20220","Dubuque, IA (Metropolitan Statistical Area)",41760,40466,39819,41254,42242,41877,42747
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",37402,36503,37531,38799,39127,39317,40322
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",44079,43010,43555,43861,45444,43722,44255
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",33358,32371,31582,32538,31863,32736,33798
"20740","Eau Claire, WI (Metropolitan Statistical Area)",38324,38355,38499,39552,40961,40677,42050
"20940","El Centro, CA (Metropolitan Statistical Area)",29883,29806,30002,31893,31718,32395,32999
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",38673,37991,37787,37831,39055,38761,39544
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",33091,31478,32814,34446,35590,36266,37771
"21300","Elmira, NY (Metropolitan Statistical Area)",36374,36042,36762,37404,37205,37151,37801
"21340","El Paso, TX (Metropolitan Statistical Area)",31001,31169,31878,31966,32355,31652,32443
